

Graph1.txt



src-id	dst=id	pir
4	5	1.000000
1	5	0.814000
14	13	0.724000
11	15	0.724000
15	14	0.724000
13	9	0.714000
9	8	0.706000
4	1	0.626000
8	4	0.600000
6	7	0.314000
10	11	0.140000
14	12	0.098000
13	12	0.054000
1	0	0.032000
2	0	0.032000
2	3	0.032000
0	6	0.032000
9	0	0.032000
6	3	0.032000
7	3	0.032000


Graph12.txt



src-id	dst=id	pir
9	8	1.000000
8	0	1.000000
0	1	1.000000
1	2	1.000000
16	17	0.533333
20	21	0.533333
21	29	0.533333
22	23	0.266667
26	25	0.266667
9	2	0.266667
25	24	0.266667
24	16	0.266667
27	26	0.266667
2	3	0.266667
3	11	0.266667
11	10	0.266667
31	30	0.266667
30	22	0.266667
10	18	0.066667
19	20	0.066667
29	28	0.066667


Graph1.txt



src-id	dst=id	pir
4	5	1.000000
1	5	0.814000
14	13	0.724000
11	15	0.724000
15	14	0.724000
13	9	0.714000
9	8	0.706000
4	1	0.626000
8	4	0.600000
2	3	0.314000
10	11	0.140000
14	12	0.098000
13	12	0.054000
1	0	0.032000
6	0	0.032000
6	7	0.032000
0	2	0.032000
9	0	0.032000
2	7	0.032000
3	7	0.032000


Graph1.txt



src-id	dst=id	pir
4	5	1.000000
1	5	0.814000
14	13	0.724000
11	15	0.724000
15	14	0.724000
13	9	0.714000
9	8	0.706000
4	1	0.626000
8	4	0.600000
6	7	0.314000
10	11	0.140000
14	12	0.098000
13	12	0.054000
1	0	0.032000
2	0	0.032000
2	3	0.032000
0	6	0.032000
9	0	0.032000
6	3	0.032000
7	3	0.032000


myGraph.txt



src-id	dst=id	pir
2	3	1.000000
1	0	0.500000
0	2	0.250000


myGraph.txt



src-id	dst=id	pir
2	3	1.000000
1	0	0.500000
0	2	0.250000


myGraph.txt



src-id	dst=id	pir
2	3	1.000000
1	0	0.500000
0	2	0.250000


myGraph.txt



src-id	dst=id	pir
1	0	1.000000
1	3	0.500000
3	0	0.500000


myGraph.txt



src-id	dst=id	pir
3	1	1.000000
3	2	0.500000
2	1	0.500000


myGraph.txt



src-id	dst=id	pir
3	2	1.000000
3	1	0.500000
1	2	0.500000


myGraph.txt



src-id	dst=id	pir
3	1	1.000000
3	2	0.500000
2	1	0.500000


myGraph.txt



src-id	dst=id	pir
1	0	1.000000
1	3	0.500000
3	0	0.500000


myGraph.txt



src-id	dst=id	pir
3	1	1.000000
3	2	0.500000
2	1	0.500000


Graph1.txt



src-id	dst=id	pir
7	6	1.000000
2	6	0.814000
13	14	0.724000
8	12	0.724000
12	13	0.724000
14	10	0.714000
10	11	0.706000
7	2	0.626000
11	7	0.600000
1	0	0.314000
9	8	0.140000
13	15	0.098000
14	15	0.054000
2	3	0.032000
5	3	0.032000
5	4	0.032000
3	1	0.032000
10	3	0.032000
1	4	0.032000
0	4	0.032000
